name,importedDate,quantity,batchNo,weeklySales
IndiaGate Basmathi Rice,2024-09-10,300,#L91,120
Fortune Sunflower Oil,2024-09-01,1500,#L81,-50
Tata Salt,2024-09-15,1000,#L101,200
Aashirvaad Atta,2024-09-05,500,#L71,-30
Bru Coffee,2024-09-11,700,#L11,180
Nescafe Coffee,2024-09-07,900,#L15,-70
Dairy Milk Chocolate,2024-09-09,1000,#L88,400
Parle-G Biscuits,2024-09-04,2000,#L98,-90
Himalaya Soap,2024-09-12,500,#L65,250
Dove Shampoo,2024-09-03,1200,#L22,-40
Surf Excel Detergent,2024-09-06,800,#L36,100
Pepsi Soft Drink,2024-09-14,1500,#L66,-25
Maggi Noodles,2024-09-02,3000,#L19,450
Dettol Handwash,2024-09-11,600,#L78,120
Colgate Toothpaste,2024-09-08,900,#L17,300
Amul Butter,2024-09-10,400,#L45,-10
Bournvita Health Drink,2024-09-13,800,#L92,75
Santoor Soap,2024-09-16,900,#L23,220
Red Label Tea,2024-09-01,1000,#L38,210
Nestle Milkmaid,2024-09-07,500,#L50,170
Head & Shoulders Shampoo,2024-09-09,750,#L26,-60
Ponds Face Cream,2024-09-03,650,#L21,130
Hershey's Chocolate Syrup,2024-09-12,450,#L81,200
Maaza Mango Drink,2024-09-15,1600,#L63,-50
Britannia Cheese,2024-09-05,300,#L44,180
Horlicks,2024-09-11,700,#L34,190
Vaseline Body Lotion,2024-09-08,850,#L91,-70
Sunfeast Biscuits,2024-09-04,1200,#L67,310
Pepsodent Toothpaste,2024-09-02,950,#L98,130
Kwality Walls Ice Cream,2024-09-06,600,#L09,-30
Coca-Cola Soft Drink,2024-09-13,1800,#L33,80